id,name,description,type
Desc_SteelIngot_C,Steel Ingot,Steel Ingots are made from Iron Ore that's been smelted with Coal. They are made into several parts used in building construction.,RF_SOLID
Desc_AluminaSolution_C,Alumina Solution,"Dissolved Alumina, extracted from Bauxite. Can be further refined into pure Aluminum.",RF_LIQUID
Desc_AluminumScrap_C,Aluminum Scrap,Aluminum Scrap is pure aluminum refined from Alumina. Can be smelted down to Aluminum Ingots for industrial usage.,RF_SOLID
Desc_AluminumIngot_C,Aluminum Ingot,Aluminum Ingots are made from Aluminum Scrap. It is mostly used to produce specialized aluminum-based parts.,RF_SOLID
Desc_Silica_C,Silica,"Derived from quartz, commonly used in structural materials and microelectronics.",RF_SOLID
Desc_Computer_C,Computer,A Computer is a complex logic machine that is used to control advanced behaviour in machines.,RF_SOLID
Desc_ModularFrameHeavy_C,Heavy Modular Frame,A more robust multi-purpose frame.,RF_SOLID
Desc_SteelPlate_C,Steel Beam,Steel Beams are used most often when constructing a little more advanced buildings.,RF_SOLID
Desc_GoldIngot_C,Caterium Ingot,Caterium Ingots are smelted from Caterium Ore. Caterium Ingots are mostly used for advanced electronics.,RF_SOLID
Desc_HighSpeedConnector_C,High-Speed Connector,The high-speed connector connects several cables and wires in a very efficient way. Uses a standard pattern so its applications are many and varied.,RF_SOLID
Desc_Stator_C,Stator,The static parts of a motor,RF_SOLID
Desc_CircuitBoardHighSpeed_C,A.I. Limiter,A.I. Limiter are super advanced electronics that are used to control A.I.s and keep them from evolving in malicious ways.,RF_SOLID
Desc_HighSpeedWire_C,Quickwire,"Caterium's high conductivity and resistance to corrosion makes it ideal for small, advanced electronics.",RF_SOLID
Desc_QuartzCrystal_C,Quartz Crystal,Used for radar and quantum technology.,RF_SOLID
Desc_LiquidTurboFuel_C,Turbofuel,A more efficient alternative to Fuel. Used in Fuel Generators.,RF_LIQUID
Desc_FluidCanister_C,Empty Canister,Used to package fluids for transportation. Can be recycled.,RF_SOLID
Desc_TurboFuel_C,Packaged Turbofuel,"Packaged Turbofuel, a more efficient alternative to Fuel. Used in vehicles.",RF_SOLID
Desc_CrystalOscillator_C,Crystal Oscillator,A crystal oscillator is an electronic oscillator circuit that uses the mechanical resonance of a vibrating crystal to create an electrical signal with a precise frequency.,RF_SOLID
Desc_ElectromagneticControlRod_C,Electromagnetic Control Rod,Control Rods regulate power expenditure via electromagnetism.,RF_SOLID
Desc_ComputerSuper_C,Supercomputer,The supercomputer is the next-gen version of the computer.,RF_SOLID
Desc_SulfuricAcid_C,Sulfuric Acid,A liquid mostly used to extract elements from ore.,RF_LIQUID
Desc_Gunpowder_C,Black Powder,An explosive powder that is commonly used in explosives and cartridges.,RF_SOLID
Desc_AluminumPlateReinforced_C,Heat Sink,Used to dissipate heat faster.,RF_SOLID
Desc_MotorLightweight_C,Turbo Motor,"The Turbo Motor is a more complex, and more powerful, version of the regular Motor.",RF_SOLID
Desc_Battery_C,Battery,Batteries store an electrical charge. They are primarily used as a power source.,RF_SOLID
Desc_ModularFrameLightweight_C,Radio Control Unit,Enhances and directs radio signals,RF_SOLID
Desc_NobeliskExplosive_C,Nobelisk,"Can be used with the Nobelisk Detonator to blow up cracked boulders, vegetation or other vulnerable targets.",RF_SOLID
Desc_Crystal_C,Green Power Slug,A strange slug radiating a weak strange power.,RF_SOLID
Desc_PackagedOilResidue_C,Packaged Heavy Oil Residue,"Heavy Oil Residue, packaged for alternative transport.",RF_SOLID
Desc_ColorCartridge_C,Color Cartridge,Ammo for the Color Gun.\r\nNecessary to change the color of factory buildings and vehicles.,RF_SOLID
Desc_Crystal_mk2_C,Yellow Power Slug,A strange slug radiating a strange power.,RF_SOLID
Desc_Crystal_mk3_C,Purple Power Slug,A strange slug radiating a powerful strange power.,RF_SOLID
